년도,모델명,제조사,유종,배기량,복합연비,등급,CO2 배출량,평균주행거리(km),경유 단가(원/L),1년 유지비(원)
2022,"투싼 개조차 1.6디젤 AWD (20MY_18""타이어)",현대,경유,1598,14.1,2등급,134,15000,"1,474.20","1,568,297"
2022,GV80 3.0디젤 2WD 5인 (20인치/22인치)(22),현대,경유,2996,11.5,4등급,169,15000,"1,474.20","1,922,869"
2022,그랜드스타렉스(PE2)2.5디젤 리무진 (6P_N/HR),현대,경유,2497,8.9,5등급,222,15000,"1,474.20","2,484,606"
2022,스포티지 2.0디젤 2WD 8AT 18인치,기아,경유,1998,14,2등급,136,15000,"1,474.20","1,579,500"
2022,GV80 3.0디젤 AWD 7인 19인치타이어(DS),현대,경유,2996,10.9,4등급,179,15000,"1,474.20","2,028,715"
2022,Mercedes-Benz GLE300 d 4MATIC,벤츠,경유,1993,11.9,3등급,161,15000,"1,474.20","1,858,235"
2022,렉스턴스포츠 2.2 디젤 2WD 6AT SCR Step2(20인치),쌍용,경유,2157,10.4,4등급,188,15000,"1,474.20","2,126,250"
2022,GV80 3.0디젤 AWD 5인 22인치타이어,현대,경유,2996,10.6,4등급,184,15000,"1,474.20","2,086,132"
2022,GV80 3.0디젤 2WD 5인 19인치(22),현대,경유,2996,11.7,3등급,165,15000,"1,474.20","1,890,000"
2022,싼타페 2.2 디젤 2WD 5인 (19'' 타이어),현대,경유,2199,13.3,3등급,144,15000,"1,474.20","1,662,631"
2022,말리부 1.6 DIESEL,한국지엠,경유,1598,15.3,2등급,123,15000,"1,474.20","1,445,294"
2022,그랜드스타렉스 2.5디젤 어린이버스(법규대응),현대,경유,2497,9.2,5등급,213,15000,"1,474.20","2,403,586"
2022,MINI Cooper D Five Door,MINI,경유,1496,16.5,1등급,113,15000,"1,474.20","1,340,181"
2022,렉스턴 2.2 8AT 4WD SCR Step2 5인승 ISG,쌍용,경유,2157,11.1,4등급,175,15000,"1,474.20","1,992,162"
